artist,album_name,release_date,total_tracks,album_url
Arijit Singh,Bollywood Reimagined: Bollywood Fusion Remix,2025-05-24,8,https://open.spotify.com/album/470a4sx8xtsGjn4PRSpGWu
Arijit Singh,The Arijit Singh Collection Vol.3,2025-02-07,21,https://open.spotify.com/album/63OVAw3XKXePV928emHvUa
Arijit Singh,Arijit Singh Top Sad Love Hits,2024-04-26,17,https://open.spotify.com/album/0os2iPNHyo2yBFi4A8RKXB
Arijit Singh,Arijit Singh - King of Sad Hits,2024-04-26,15,https://open.spotify.com/album/2WcskJsPOs5HuFHicXlbcU
Arijit Singh,Arijit Singh - Sad Love Songs,2024-04-25,11,https://open.spotify.com/album/7nwUTtRTuz7ZvJAIJRkF9p
Arijit Singh,Arijit Singh - Reprise and Unplugged Hits,2024-04-25,9,https://open.spotify.com/album/2Aa7I2sffdVuuBtR97VBV1
Arijit Singh,The Arijit Singh Collection Vol.2,2024-04-24,29,https://open.spotify.com/album/0JWpJ4hPD4WX0FO6c5sz8s
Arijit Singh,Arijit Singh Heartbreak Hits,2024-04-24,15,https://open.spotify.com/album/6L8x1JeBN5nXqZFcEVCy5N
Arijit Singh,Arijit Singh - Unheard Gems,2024-04-24,14,https://open.spotify.com/album/68fMXL8ncgfgzpEQ16HJu8
Arijit Singh,Dil Jhoom With Arijit Singh,2024-02-12,15,https://open.spotify.com/album/0RGri1OR1Q1bk4KfebKL1r
Arijit Singh,Arijit Singh Ae Watan - Patriotic Hits,2024-01-22,9,https://open.spotify.com/album/6DvVZhAWnyDONavY4Pgx0P
Arijit Singh,Open Stage Recreations - Vol 79,2023-10-09,13,https://open.spotify.com/album/32IsAKQWK4g5ZIFsOgv1PB
Arijit Singh,Open Stage X Spotlife Studio - Vol 6,2023-10-07,11,https://open.spotify.com/album/0LMjCc8nrWRBDKiFlNh43e
Arijit Singh,Open Stage Recreations - Vol 44,2023-09-06,10,https://open.spotify.com/album/1tJmKXlcfIPhviWNm7ph8d
Arijit Singh,Open Stage Recreations - Vol 25,2023-08-24,10,https://open.spotify.com/album/0PvTKRX1PyF6Vbi5Y9i6hZ
Arijit Singh,Open Stage Recreations - Vol 24,2023-08-24,15,https://open.spotify.com/album/0uWmNMNrJm6Qb4dYf4b8zf
Arijit Singh,Arijit Singh Patriotic Hits,2023-08-14,10,https://open.spotify.com/album/2VWrRAATHV9VNV9sG3qFfr
Arijit Singh,Non Stop Arijit Singh Hits,2023-08-08,50,https://open.spotify.com/album/4xeWDuTiI7eEyMiQAtVBp3
Arijit Singh,Open Stage Covers - Vol 92,2023-07-15,15,https://open.spotify.com/album/7lZNikBeIg1EqWLkCexSFB
Arijit Singh,Long Drive (Bollywood Mix),2023-07-14,31,https://open.spotify.com/album/1hlbiG3q18W4Jd923StCif
Arijit Singh,The Arijit Singh Collection,2023-05-26,15,https://open.spotify.com/album/1QOwvBk3LNWAaEvARxPDNd
Arijit Singh,Arijit Singh (All Time Hits),2023-05-15,12,https://open.spotify.com/album/4NHLAi6QtsGDbUbLl8srLB
Arijit Singh,Arijit Singh Hits,2023-03-27,10,https://open.spotify.com/album/4Q9GcrVG52LLj4RNnTWUus
Arijit Singh,Arijit Singh - India Tour Hits,2022-11-30,23,https://open.spotify.com/album/7vMWh9urOORyyFjwV4Drs4
Arijit Singh,Bismillah,2022-08-14,9,https://open.spotify.com/album/4aOBBqhlFAPkrMnL67Wrf6
Arijit Singh,YRF Top 10 - Nightout Sounds,2021-05-04,10,https://open.spotify.com/album/6oE20B7dnXUthc6pOorJJC
Arijit Singh,YRF Top 10 - Bollywood Remixed,2021-03-31,10,https://open.spotify.com/album/6HYp2yulQUYrEb1RvLfMj8
Arijit Singh,Pagglait,2021-03-15,24,https://open.spotify.com/album/63dZRlRaGKu1KuP8kC91cv
Arijit Singh,YRF Top 10 - Midnight Hour,2021-02-17,10,https://open.spotify.com/album/2mgAQPRBawMyJ1N6jGWWPF
Arijit Singh,"Acche Din, Acche Gaane",2019-05-29,12,https://open.spotify.com/album/2b1jRXut0UQBfL5VLfsjFG
Arijit Singh,Chokher Bahire (Original Motion Picture Soundtrack),2017-10-27,6,https://open.spotify.com/album/7ByzvLaUbfQycIrJvbGudU
Arijit Singh,Shudhu Tomari Jonyo,2015-09-13,8,https://open.spotify.com/album/2GICr5p81pM3Z0T9BJFb1o
Arijit Singh,Golpo Holeo Sotti,2014-06-10,7,https://open.spotify.com/album/2in4xZhjkZ8Kt2cifZ9z1o
Arijit Singh,Chander Pahar,2013-12-26,13,https://open.spotify.com/album/3vDKxt5LedHOk5FDJHgJmA
Arijit Singh,Bojhena Se Bojhena,2012-12-12,6,https://open.spotify.com/album/1pbdCW1f3bVwqRd2toq4kC
