artist_name,artist_id,artist_uri,followers,genres,popularity,image_url
Arijit Singh,4YRxDV8wJFPHPTeXepOstw,spotify:artist:4YRxDV8wJFPHPTeXepOstw,157248833,"hindi pop, bollywood, desi, bangla pop",93,https://i.scdn.co/image/ab6761610000e5eb5ba2d75eb08a2d672f9b69b7
Arijit Singh,6zrQkGA8EvD1Y4z35lIc2e,spotify:artist:6zrQkGA8EvD1Y4z35lIc2e,3404,"bangla pop, bhajan, devotional",27,https://i.scdn.co/image/ab67616d0000b273fff0684daebe05aeac0679ba
"Hariharan, Swarnalatha, Kumar Sanu, Sapna Mukherjee, Lata Mangeshkar, Aamir Khan, Alka Yagnik, Arijit Singh, Atif Aslam, Shreya Ghoshal, Udit Narayan, Sadhana Sargam, Anuradha Sriram, Sujatha, Sonu Nigam, A. R. Rahman & Sukhwinder Singh",2b84vRVbe4QTox0pMqAC6W,spotify:artist:2b84vRVbe4QTox0pMqAC6W,998,,10,https://i.scdn.co/image/ab67616d0000b2737bbcbc9500ea31166d41abea
"Vishal-Shekhar,Arijit Singh,Shilpa Rao,Kumaar",0l1GEW74dNahpWUZ6VY2aG,spotify:artist:0l1GEW74dNahpWUZ6VY2aG,38,,0,
Arijit Singh,11P6oIAn8olEk5FJSbhAUy,spotify:artist:11P6oIAn8olEk5FJSbhAUy,20,,0,https://i.scdn.co/image/ab67616d0000b273bf7005ba2faf1faa1533a28f
Arijit Singh,1Y7GoYOL4iwZNPULQbKqkF,spotify:artist:1Y7GoYOL4iwZNPULQbKqkF,204,,0,https://i.scdn.co/image/ab67616d0000b2733a28eaff5a041f973e5cbf3b
"Sachin-Jigar,Arijit Singh,Neeti Mohan,Vayu",4hMvXl2N76KCluwwzziGpq,spotify:artist:4hMvXl2N76KCluwwzziGpq,14,,0,
Arijitt singh,63tnhrqJroQi6keC7fU1rQ,spotify:artist:63tnhrqJroQi6keC7fU1rQ,30,,0,https://i.scdn.co/image/ab67616d0000b27344ce8301c5f5e35416db44cd
"Vishal-Shekhar,Arijit Singh,Jaideep Sahni",5g7Oo0qcaRJpXaSTVwdRv0,spotify:artist:5g7Oo0qcaRJpXaSTVwdRv0,6,,0,
"Sachin-Jigar,Arijit Singh,Priya Saraiya",69BzYn1D0VM66nWt01CwlQ,spotify:artist:69BzYn1D0VM66nWt01CwlQ,77,,0,
