artist,track_name,popularity,preview_url,cover_art,album_name,release_date
Arijit Singh,"Dhun (From ""Saiyaara"")",81,,https://i.scdn.co/image/ab67616d0000b273781faf59a3cb980fe3b493f8,"Dhun (From ""Saiyaara"")",2025-07-01
Arijit Singh,Apna Bana Le,75,,https://i.scdn.co/image/ab67616d0000b273b85b4e8fb6ba961aedfde386,Bhediya (Original Motion Picture Soundtrack),2022-12-06
Arijit Singh,Aavan Jaavan,64,,https://i.scdn.co/image/ab67616d0000b2737c2203c369b2d11d53f67726,WAR 2,2025-08-16
Arijit Singh,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",78,,https://i.scdn.co/image/ab67616d0000b273ba03ff79dad25f7c3542382f,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",2019-05-31
Arijit Singh,Tum Hi Ho,77,,https://i.scdn.co/image/ab67616d0000b2736404721c1943d5069f0805f3,Aashiqui 2,2013-04-06
Arijit Singh,"Humdard (From ""Ek Villain"")",56,,https://i.scdn.co/image/ab67616d0000b2737569cbe3695608074d9fd389,Love Forever With Arijit Singh,2017-06-07
Arijit Singh,"Agar Tum Saath Ho (From ""Tamasha"")",68,,https://i.scdn.co/image/ab67616d0000b27325f7621c3c70dd1f868b61bc,Love Wali Feeling: Valentine Special,2017-02-10
Arijit Singh,"Sajni (From ""Laapataa Ladies"")",77,,https://i.scdn.co/image/ab67616d0000b273d5f4378b1ffc9119fdc7306d,"Sajni (From ""Laapataa Ladies"")",2024-02-12
Arijit Singh,"Mast Magan (From ""2 States)",43,,https://i.scdn.co/image/ab67616d0000b2732d2263486e48ab1b41ae2466,Love Dose Arijit Singh,2016-02-11
Arijit Singh,"Satranga (From ""ANIMAL"")",77,,https://i.scdn.co/image/ab67616d0000b273021d7017f73387b008eab271,"Satranga (From ""ANIMAL"")",2023-10-27
