artist,album_name,release_date,total_tracks,album_url
DSP,Kuberaa (Tamil),2025-04-20,9,https://open.spotify.com/album/57JMpf9DmVsdJ4vKTI3a9R
DSP,Kuberaa (Malayalam),2025-04-20,9,https://open.spotify.com/album/6IwvEXWKhpuebiWIWP1V00
DSP,Kuberaa (Kannada),2025-04-20,9,https://open.spotify.com/album/116xQ6yDlevlQDeXHsXkRA
DSP,Kuberaa (Hindi),2025-04-20,9,https://open.spotify.com/album/6mLv6Y4orgYXWGffujaSr3
DSP,Kuberaa,2025-04-20,9,https://open.spotify.com/album/1dW5s2bY6Io0TggX2ouBV9
DSP,Pushpa 2 The Rule (DIALOGUES) [TAMIL],2025-02-06,11,https://open.spotify.com/album/0HtrCsjUINwQXko8zCnRKX
DSP,Pushpa 2 The Rule (DIALOGUES) [MALAYALAM],2025-02-06,11,https://open.spotify.com/album/4qE48m6oYPRpi10e4g6W1u
DSP,Pushpa 2 The Rule (DIALOGUES) [KANNADA],2025-02-06,11,https://open.spotify.com/album/3GZyuu0XvJmZDrQAulMOrp
DSP,Pushpa 2 The Rule (DIALOGUES) [TELUGU],2025-02-02,11,https://open.spotify.com/album/0pyWBWK9Gnd9HD53mHvIZM
DSP,Pushpa 2 The Rule (DIALOGUES) [HINDI],2025-02-02,11,https://open.spotify.com/album/66p8cwvP9I3ZtDxYFwC7p7
DSP,Pushpa 2 The Rule Ost,2025-01-21,7,https://open.spotify.com/album/63L5HVHS5v7iJSkJQGggKF
DSP,Rathnam (Tamil),2024-02-08,9,https://open.spotify.com/album/2pmhxR58rWzxn0jylDs6ld
DSP,Rathnam,2024-02-08,10,https://open.spotify.com/album/77EbdcsHpl9YKilpXFQmKi
DSP,Pushpa The Rise - OST,2023-05-26,18,https://open.spotify.com/album/64Vs6t5DycA8LzjeIGDSHk
DSP,Drishyam 2 (Original Background Score),2023-05-25,25,https://open.spotify.com/album/4o98cYUuEJ7eLnwYfrAOfy
DSP,Ready (Cine Audio),2022-08-06,8,https://open.spotify.com/album/4GFJlPiem3AvHOoccJEsTH
DSP,National Crush Rashmika Mandanna Hit Songs,2022-04-04,15,https://open.spotify.com/album/2nC1xFU2yM5FjE9TbTuyp9
DSP,Fresh Face To Tollywood,2022-04-01,25,https://open.spotify.com/album/1Jm0qi6n9zlgOoC0J7hvxF
DSP,Rowdy Boys,2021-09-03,9,https://open.spotify.com/album/6Qvmyq6fxnI4qtKVvE5KjP
DSP,S/o Satyamurthy,2021-02-10,7,https://open.spotify.com/album/3bFjMbuoqc0aJkFWItEPcs
DSP,"Sakala Devatha Stothrams, Vol. 1",2020-11-28,10,https://open.spotify.com/album/6iEWzMHoGlgtIGaDcKiG0x
DSP,Golden Star Ganesh Lovely Hit Songs,2020-07-02,12,https://open.spotify.com/album/7smfzfCRkSwtuOkiYlzNgJ
DSP,Uppena,2020-03-02,8,https://open.spotify.com/album/4ug7KdJJ2CVG5fANdZbzHM
DSP,Manmadan Ambu (Original Motion Picture Soundtrack),2020-01-30,8,https://open.spotify.com/album/1JUXfWBSjBzCmcJBJBkyuA
DSP,Expression Queen Trisha,2019-05-02,20,https://open.spotify.com/album/5QnrY0J2XNF0HtiMVihQOd
DSP,Kotha Kothagaa,2019-04-19,16,https://open.spotify.com/album/6UzykWv6MFntsjexwUpBlm
DSP,Maharshi,2019-03-29,9,https://open.spotify.com/album/0OQxOJOE6auBOd9TWplaoV
DSP,Golden Star Ganesh Romantic Hits,2018-06-29,22,https://open.spotify.com/album/7oHcRGYicBjl1pJvpfK5GV
DSP,Puli (Telugu) [Original Motion Picture Soundtrack],2015-09-20,7,https://open.spotify.com/album/5Sfc71vaBH6HVjo7aAAxwu
DSP,Son Of Sathyamoorthi,2015-04-24,7,https://open.spotify.com/album/5PghXnw7ccig79wqusK5bb
DSP,Son Of Satyamurthy,2015-03-15,8,https://open.spotify.com/album/0nJiWxWeUSYUq3xpzNKs5d
DSP,Devi,2014-08-31,11,https://open.spotify.com/album/68a1UKaRxvCf6nOcKCRFWO
DSP,Legend (Telugu),2014-03-07,27,https://open.spotify.com/album/1t6ittQCHbLFo04Wro3AJG
DSP,Jai Ho,2013-12-20,9,https://open.spotify.com/album/3Jb68IbR95Kh1hsR1oWxij
DSP,Attarrintiki Daaredi,2013-07-19,7,https://open.spotify.com/album/4rjF7pEttnd3hMEt7iuzgk
DSP,Mirchi,2013-01-05,7,https://open.spotify.com/album/0U9GjYJr2K1CK8tOax7Hrf
DSP,Damarukam,2012-09-10,10,https://open.spotify.com/album/2clc3aZYwJcXmStbfYS0E3
DSP,Oosaravelli,2011-09-16,8,https://open.spotify.com/album/4C0tjIpNFfNtPh0htToFkW
DSP,Dhada,2011-07-22,7,https://open.spotify.com/album/3kYUkZWM8rpgNSGIfR6OpP
DSP,Ready,2011-04-25,8,https://open.spotify.com/album/3fRvoWSlsK90ii0PVRvw4P
DSP,100% Love,2011-04-11,10,https://open.spotify.com/album/3WpJMu5GDS49xoNMhoGXD5
DSP,Mr Perfect,2011-03-18,9,https://open.spotify.com/album/2i17pjaXyGutK1FgRJh9ZS
DSP,100% Love (Original Motion Picture Soundtrack),2011,9,https://open.spotify.com/album/2N9o7yz66HcJmpNh1eVfoi
DSP,Aarya 2 (Original Motion Picture Soundtrack),2010-01-12,6,https://open.spotify.com/album/3VoEpMkqdntQ6oDAYJoXJB
DSP,Adhurs,2009-12-05,7,https://open.spotify.com/album/3pil8mz4boKgVwG19ZVRiH
DSP,Aarya - 2 (Original Motion Picture Soundtrack),2009-10-30,8,https://open.spotify.com/album/7vuWNVdv7zSwgHJ7qx26O4
DSP,Kanthaswamy (Original Motion Picture Soundtrack),2009-05-13,8,https://open.spotify.com/album/3luAOiA8IWyuqcbh8eR8ui
DSP,Mallanna (Original Motion Picture Soundtrack),2009-05-11,8,https://open.spotify.com/album/7zIqV2LaCveEc8TosxyjEg
DSP,Villu (Original Motion Picture Soundtrack),2009-01-12,8,https://open.spotify.com/album/1BrEY7RLhmBelVc8gkpLrd
DSP,King,2008-11-29,9,https://open.spotify.com/album/5vOlP2j1IsmTqYz4TzcuvH
DSP,Pournami (Original Motion Picture Soundtrack),2008-04-05,7,https://open.spotify.com/album/1XKlHT3mk3VGHjU7eR3l4H
DSP,Jalsa,2008-02-28,9,https://open.spotify.com/album/4KNR5sMQfxxL35Ob0kfBAo
DSP,Shankardada Zindabad,2007-07-03,7,https://open.spotify.com/album/1W7YuBM6lIUhbp1V1u6taj
DSP,Jagadam,2007-03-16,6,https://open.spotify.com/album/1LZGYhGgTOtiYiSNzA55Mm
DSP,Rakhi,2006-12-22,6,https://open.spotify.com/album/7fFj1ODM0ygnJ1nByQGFfi
DSP,Bommarillu,2006-08-14,7,https://open.spotify.com/album/1hOrpjlJ3ScFQaALB9eU1R
DSP,Pournamy,2006-04-01,10,https://open.spotify.com/album/1rQI0kA0HljvqK3GspBWrf
DSP,Aaru,2006-01-01,7,https://open.spotify.com/album/13VoQCbGpWJP3M22y0LMYc
DSP,Aarya (Original Motion Picture Soundtrack),2006,8,https://open.spotify.com/album/2GQdwRQSUFszzOflBp6beI
DSP,Oka Oorilo,2005-06-09,7,https://open.spotify.com/album/4iRByIhQoRdZwnqvGm7PLW
DSP,Bhadra,2005-05-02,8,https://open.spotify.com/album/335vC5ZU8soyG9dm0yNQFS
DSP,Nuvvostanante Nenoddantana,2005-01-14,7,https://open.spotify.com/album/3UTrk2jPxnrQnsgV8Fw0oV
DSP,Naa Alludu,2005-01-14,7,https://open.spotify.com/album/03y8odM85vMgPxiLdF0Pcs
DSP,Shankerdada M B B S,2004-10-15,7,https://open.spotify.com/album/2Dsq5t51lyNxZHm6bDdlbi
DSP,Thiruppatchi (Original Motion Picture Soundtrack),2004-04-25,7,https://open.spotify.com/album/5ZNGE80nyY6lwPshdtgVbP
DSP,Aarya,2004-04-19,6,https://open.spotify.com/album/1SicTyeYpectKGTzDESbQc
DSP,Varsham,2003-12-17,7,https://open.spotify.com/album/2uzqFkMiIqehWSDfbpWfbW
DSP,Khadgam,2002-10-29,6,https://open.spotify.com/album/4BBwcysIlZX8VjMV2AlTy7
DSP,Sontham,2002-07-23,8,https://open.spotify.com/album/16cu4XfdW65CGlY2o2CkqW
DSP,Kalusukovalani,2002-01-08,8,https://open.spotify.com/album/0mwl5s5j1QmOREIlcJXFFB
DSP,Badhri (Original Motion Picture Soundtrack),2001-12-04,10,https://open.spotify.com/album/6sP28JmmYiTgPUMqVL1Uvv
DSP,Mr.Devi,1999-03-12,9,https://open.spotify.com/album/6VxC93w3aoHRPeYjVpVtl9
DSP,Mr. Devi,1998-03-12,8,https://open.spotify.com/album/0Pz5E0AQE22biB6w4xufSk
