artist_name,artist_id,artist_uri,followers,genres,popularity,image_url
Artist Vs Poet,3kYFawNQVZ00FQbgs4rVBe,spotify:artist:3kYFawNQVZ00FQbgs4rVBe,131793,pop punk,43,https://i.scdn.co/image/0078316432cdfb6733c3bde0dc61754d45442d0f
Prince The Artist Singh,2kEU1NNJORHNJabD0tdO1E,spotify:artist:2kEU1NNJORHNJabD0tdO1E,5358,"hindi hip hop, desi hip hop, punjabi hip hop",15,https://i.scdn.co/image/ab6761610000e5eb20fa149bac34fd606f770f8d
Lejwe La Motheo Artist Development,1d4uM0g9449nE9TV5KeWch,spotify:artist:1d4uM0g9449nE9TV5KeWch,28370,"gospel, african gospel",33,https://i.scdn.co/image/ab67616d0000b27308779bde4ae1e4010f9dcf61
REVELATION ARTIST DEVELOPMENT,698B8xov1XsOuRHfmh4nlC,spotify:artist:698B8xov1XsOuRHfmh4nlC,642,,20,https://i.scdn.co/image/ab67616d0000b27391e81d90382b35274bb254cb
Piba And Hosea Artist Development,2aFKman2QlxIellK1N3NiR,spotify:artist:2aFKman2QlxIellK1N3NiR,6377,gospel,27,https://i.scdn.co/image/ab67616d0000b273e2a6c53139d69316a7fd534e
Solo Artist Saxx,3EK1eCIbh3eDCkLdbMQHpT,spotify:artist:3EK1eCIbh3eDCkLdbMQHpT,3461,,20,https://i.scdn.co/image/ab6761610000e5ebacb6a1310cd73308c2af0c5b
New Artist Spotlight,1Yk912s46hRDu0aEvLG8WO,spotify:artist:1Yk912s46hRDu0aEvLG8WO,3331,,15,https://i.scdn.co/image/ab67616d0000b27307617d85eb1247831991d703
The Harmony Singers Artist Development,1q7ceNPra0VcFy78GJ1EGd,spotify:artist:1q7ceNPra0VcFy78GJ1EGd,2269,gospel,25,https://i.scdn.co/image/ab67616d0000b273f61fe1c2822e75a1af542d93
UNDERRATED ARTIST SEASON,0BwDQlrxSzP6QGYKYexEe8,spotify:artist:0BwDQlrxSzP6QGYKYexEe8,226,,17,https://i.scdn.co/image/ab6761610000e5eba0a8b558d7bc5763567c2d46
Piba and Hosea Artist Development,1B6XQXXrwR3vceZpkl8Qdq,spotify:artist:1B6XQXXrwR3vceZpkl8Qdq,6203,"african gospel, gospel",23,https://i.scdn.co/image/ab67616d0000b2734479cf42be55943d0c70bf18
