artist,track_name,popularity,preview_url,cover_art,album_name,release_date
DSP,"Viral Vayyari ( From ""Junior"")",72,,https://i.scdn.co/image/ab67616d0000b2738b741a9f3a7aabf042150513,"Viral Vayyari ( From ""Junior"")",2025-07-04
DSP,"Bujji Thalli (From ""Thandel"")",68,,https://i.scdn.co/image/ab67616d0000b273b21d3fb220ac724c150b9d20,"Bujji Thalli (From ""Thandel"")",2024-11-21
DSP,Poyiraa Mama,61,,https://i.scdn.co/image/ab67616d0000b273c5e603c00c6b3527ff6e95b1,Kuberaa,2025-04-20
DSP,Dheemthanakka Thillana,66,,https://i.scdn.co/image/ab67616d0000b273e1e5abb14d9daf6618d19273,Villu (Original Motion Picture Soundtrack),2009-01-12
DSP,"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",66,,https://i.scdn.co/image/ab67616d0000b273bde2708d57b1fbb64ca2a233,"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",2024-05-29
DSP,Yaendi Yaendi,66,,https://i.scdn.co/image/ab67616d0000b273cf01d6e6da3650e87497a9f7,Puli (Original Motion Picture Soundtrack),2015-08-02
DSP,Daddy Mummy,66,,https://i.scdn.co/image/ab67616d0000b273e1e5abb14d9daf6618d19273,Villu (Original Motion Picture Soundtrack),2009-01-12
DSP,En Peru Meenakumari,65,,https://i.scdn.co/image/ab67616d0000b2732667b1d81f4313b1794f3178,Kanthaswamy (Original Motion Picture Soundtrack),2009-05-13
DSP,Uppenantha,64,,https://i.scdn.co/image/ab67616d0000b2738335d4c9f1240433714f0a33,Aarya - 2 (Original Motion Picture Soundtrack),2009-10-30
DSP,Kannmoodi thirakkum,64,,https://i.scdn.co/image/ab67616d0000b273563f0075e1a2f5497652ea9e,Sachien,2005-01-12
