playlist_name,playlist_id,playlist_uri,owner,tracks_count
Classic Honky Tonk,0NfjMqrzcGKVsbYZmhf4Md,spotify:playlist:0NfjMqrzcGKVsbYZmhf4Md,Spotify,50
Nicholas Sparks | Songs from the Soundtracks,1scnlLVq91NGtsA9sh0hfw,spotify:playlist:1scnlLVq91NGtsA9sh0hfw,Spotify,53
1960s Nostalgia,2NFOUmp2wyR5CrXtKDkUkB,spotify:playlist:2NFOUmp2wyR5CrXtKDkUkB,Spotify,67
Breakup Blues,1o2bTwofazfzElA5mXGf2t,spotify:playlist:1o2bTwofazfzElA5mXGf2t,Spotify,44
I Hate My Job.,6cdV0hVW2suJaMOxzwE46S,spotify:playlist:6cdV0hVW2suJaMOxzwE46S,Spotify,38
Instrumental Rock,2uhsnHgI4F2eFyvoMHY0GR,spotify:playlist:2uhsnHgI4F2eFyvoMHY0GR,Spotify,42
Avant Folk,2uVP1agvV5rba3MqLQ0pzy,spotify:playlist:2uVP1agvV5rba3MqLQ0pzy,Spotify,45
The Perfect Crafternoon,0BbcjurkvWrkWxKKLzcqIP,spotify:playlist:0BbcjurkvWrkWxKKLzcqIP,Spotify,70
Power Ballads,44XJR1i3Vl2B3acOEYwinE,spotify:playlist:44XJR1i3Vl2B3acOEYwinE,Spotify,79
Energy + Positivity,2YeGkAUQhmO8TCjSMbFYWf,spotify:playlist:2YeGkAUQhmO8TCjSMbFYWf,Spotify,22
Namaste,0op6xwVK9pVhcxozSQPEsJ,spotify:playlist:0op6xwVK9pVhcxozSQPEsJ,Spotify,93
Rustic Romance Wedding,2Ph68VcwRfqRdnrKhY3oPS,spotify:playlist:2Ph68VcwRfqRdnrKhY3oPS,Spotify,63
Word of Mouth,2VxQy0Q22k1gP542tzaMCN,spotify:playlist:2VxQy0Q22k1gP542tzaMCN,Spotify,58
Indie Strings,0sDO43KAaJUWIYassTKWYf,spotify:playlist:0sDO43KAaJUWIYassTKWYf,Spotify,39
Vinyasa Flow,2B64RN7KJte5x6iXgg02tv,spotify:playlist:2B64RN7KJte5x6iXgg02tv,Spotify,20
Acoustic Commute,3OUguxmuL5x24sMAw4qPku,spotify:playlist:3OUguxmuL5x24sMAw4qPku,Spotify,57
Summertime Vibes,5v2J2noHVxPWgSrOw6lZsp,spotify:playlist:5v2J2noHVxPWgSrOw6lZsp,Spotify,157
More Banjo!,1W2XJETQjFYdzT4GuhBHmS,spotify:playlist:1W2XJETQjFYdzT4GuhBHmS,Spotify,37
Chill as Folk,43rSnXFDoctqiZxvEqH14P,spotify:playlist:43rSnXFDoctqiZxvEqH14P,Spotify,56
The New Bohemian,1IKDP8o4UvpfLh0SJX2e1b,spotify:playlist:1IKDP8o4UvpfLh0SJX2e1b,Spotify,81
Sweetgrass,44Ht3IACEyKqiLBZupIhIk,spotify:playlist:44Ht3IACEyKqiLBZupIhIk,Spotify,29
Sweet Winter Songs,62Tpw0jhT8kxF3KPbGciTk,spotify:playlist:62Tpw0jhT8kxF3KPbGciTk,Spotify,104
Disco Beats,0pHFNRP8qkYhal0q0Irp6D,spotify:playlist:0pHFNRP8qkYhal0q0Irp6D,Spotify,53
Rock & Roots,7pD7pMFxcq8agMXqLQCggM,spotify:playlist:7pD7pMFxcq8agMXqLQCggM,Spotify,55
Interstate Drive Songs,0XDRWlx2B1C1OXlaLlld8t,spotify:playlist:0XDRWlx2B1C1OXlaLlld8t,Spotify,26
Low Key Revelry,67uEKAhAdvMJvumeC8ZgjB,spotify:playlist:67uEKAhAdvMJvumeC8ZgjB,Spotify,26
Best of 2016: Folk & Americana,0fmNiEOXSfBfurQwf4gG5L,spotify:playlist:0fmNiEOXSfBfurQwf4gG5L,Spotify,94
Best of 2016:  Hot Country,7g3zHOim2XylTlM7Oittr8,spotify:playlist:7g3zHOim2XylTlM7Oittr8,Spotify,50
Guest List: Orb,2O0Nf9Mi5tM17PM7Ns6Fgu,spotify:playlist:2O0Nf9Mi5tM17PM7Ns6Fgu,Spotify,38
Artists Den + Spotify,1HdxEroWca3L8JR3lvnolH,spotify:playlist:1HdxEroWca3L8JR3lvnolH,Spotify,16
Women in Music | Stories & Songs,1zriHsmiRJmTThtQk8UWPk,spotify:playlist:1zriHsmiRJmTThtQk8UWPk,Spotify,142
BRILLIANTMINDS2016,57clV3IPw1TXSWdzzDVDwp,spotify:playlist:57clV3IPw1TXSWdzzDVDwp,Spotify,18
Incoming,79sVcfxVNazjyK2iBY9l3q,spotify:playlist:79sVcfxVNazjyK2iBY9l3q,Spotify,17
AMY,3QAT1vJA7CAIHIRP9Gkyqj,spotify:playlist:3QAT1vJA7CAIHIRP9Gkyqj,Spotify,53
Follow Your Bliss,2wqwH7uKckoLe7UVTx1RfO,spotify:playlist:2wqwH7uKckoLe7UVTx1RfO,Spotify,78
Rest & Relaxation,1uIp2WHCf6ODHxHRPmjWG5,spotify:playlist:1uIp2WHCf6ODHxHRPmjWG5,Spotify,36
One Perfect Day,6jUFiT3D8f4Rt9n6UnC1aB,spotify:playlist:6jUFiT3D8f4Rt9n6UnC1aB,Spotify,79
Get Happy!,4Buj61XKuhfVLsW8rPX8YQ,spotify:playlist:4Buj61XKuhfVLsW8rPX8YQ,Spotify,105
Lazy Afternoon,6QAwHYtCdTdrgX6wh1iE9H,spotify:playlist:6QAwHYtCdTdrgX6wh1iE9H,Spotify,39
The Bridge,4qq3MCSLrDgYx7RfJBDvij,spotify:playlist:4qq3MCSLrDgYx7RfJBDvij,Spotify,28
Spring Garden,6YMK6nqc1jS11fGraCU1o2,spotify:playlist:6YMK6nqc1jS11fGraCU1o2,Spotify,21
Nightly Meditations,4MLFX9OXy9ncfBlTfei9Ok,spotify:playlist:4MLFX9OXy9ncfBlTfei9Ok,Spotify,34
(Descent) A Beginning,71WgbCkbVXGzAltJTAT6lD,spotify:playlist:71WgbCkbVXGzAltJTAT6lD,Spotify,23
Covered in Country,0jJQDST7bzwAYlN19tFLXw,spotify:playlist:0jJQDST7bzwAYlN19tFLXw,Spotify,21
Traffic Jams,0mY9BQvlpraYLzg9BfKuVa,spotify:playlist:0mY9BQvlpraYLzg9BfKuVa,Spotify,72
#JazzAppreciationMonth,2nb7lCySvvf7PNxHUD5oun,spotify:playlist:2nb7lCySvvf7PNxHUD5oun,Spotify,40
Motivation Montage,2f4rXblveCedKdU2adFgC8,spotify:playlist:2f4rXblveCedKdU2adFgC8,Spotify,46
Sugar & Spice,7MsOqrEv1TxiHPDiYlWVLx,spotify:playlist:7MsOqrEv1TxiHPDiYlWVLx,Spotify,24
Soul Soothers,3TymQFosH9UgfP5jV5mPEe,spotify:playlist:3TymQFosH9UgfP5jV5mPEe,Spotify,21
Winding Roads,1JuraqRjLX4CmhyvvuXiPF,spotify:playlist:1JuraqRjLX4CmhyvvuXiPF,Spotify,25
Carpool Karaoke,0NaXa68Xyo4wmMiun5Lqgm,spotify:playlist:0NaXa68Xyo4wmMiun5Lqgm,Spotify,0
Songbirds,5JXV7ioEqB9ZA1b1RjSLVg,spotify:playlist:5JXV7ioEqB9ZA1b1RjSLVg,Spotify,25
Into the Woods,3fqSEmStIKS8s3mCCRQFid,spotify:playlist:3fqSEmStIKS8s3mCCRQFid,Spotify,22
Bluegrass Byways,2EjRsHG8m4bGCrhCoJ1ykn,spotify:playlist:2EjRsHG8m4bGCrhCoJ1ykn,Spotify,19
The Scenic Route,6pn7MZpvAxlKPzspzMR6T6,spotify:playlist:6pn7MZpvAxlKPzspzMR6T6,Spotify,28
We Dem Girlz,3g2dsbLbtpOz0Gpo4W50QK,spotify:playlist:3g2dsbLbtpOz0Gpo4W50QK,Spotify,23
1960,2PE0DbAlT8ZFiiYaCsCm4Q,spotify:playlist:2PE0DbAlT8ZFiiYaCsCm4Q,Spotify,50
1961,7EhO7YjjFdrNRtTHcRrnnQ,spotify:playlist:7EhO7YjjFdrNRtTHcRrnnQ,Spotify,50
1962,7GSt7smvMMAiOFmPJ17jEf,spotify:playlist:7GSt7smvMMAiOFmPJ17jEf,Spotify,50
1963,6c1DPPuq4eNKcS2usgij9m,spotify:playlist:6c1DPPuq4eNKcS2usgij9m,Spotify,50
1964,2XFhZrcFAFFvBLjRQrw9wI,spotify:playlist:2XFhZrcFAFFvBLjRQrw9wI,Spotify,50
1965,48GGszBLm7kS5D1xJuMnxD,spotify:playlist:48GGszBLm7kS5D1xJuMnxD,Spotify,50
1966,41YL3HcXd3zTXa1rMZY5uR,spotify:playlist:41YL3HcXd3zTXa1rMZY5uR,Spotify,50
1967,3nT5EK7WTRbRZ5vtWg5irD,spotify:playlist:3nT5EK7WTRbRZ5vtWg5irD,Spotify,50
1968,0sbkEFgqbA3Jjot2lbqsyx,spotify:playlist:0sbkEFgqbA3Jjot2lbqsyx,Spotify,50
1969,1xZ87c95aRIeyvqVoKCtdM,spotify:playlist:1xZ87c95aRIeyvqVoKCtdM,Spotify,50
1970,09D0CKBRWkBBoPn46V6YTO,spotify:playlist:09D0CKBRWkBBoPn46V6YTO,Spotify,50
1971,5xAfItDaeAViBRNdSuQ7ZG,spotify:playlist:5xAfItDaeAViBRNdSuQ7ZG,Spotify,50
1972,1DcArrb34m9SS3o8O2dATX,spotify:playlist:1DcArrb34m9SS3o8O2dATX,Spotify,49
1973,5WUFWhGRVpi4ED9QpK2hOF,spotify:playlist:5WUFWhGRVpi4ED9QpK2hOF,Spotify,50
1974,78UTV8Gw5bHpyWc65qR4Px,spotify:playlist:78UTV8Gw5bHpyWc65qR4Px,Spotify,50
1975,67FrRIrS2v0WAs8yE2JTUM,spotify:playlist:67FrRIrS2v0WAs8yE2JTUM,Spotify,50
1976,3axv4DMbWHWf7uxOPB1I7K,spotify:playlist:3axv4DMbWHWf7uxOPB1I7K,Spotify,50
1977,2cIkPMesqdx5VV6IAvX9bE,spotify:playlist:2cIkPMesqdx5VV6IAvX9bE,Spotify,50
1978,05dTMGk8MjnpQg3bKuoXcc,spotify:playlist:05dTMGk8MjnpQg3bKuoXcc,Spotify,51
1979,2xtEcvpPTus59Ppa0fv3xP,spotify:playlist:2xtEcvpPTus59Ppa0fv3xP,Spotify,50
1980,4j0G7LOHRpKYDDXa8lxUik,spotify:playlist:4j0G7LOHRpKYDDXa8lxUik,Spotify,50
1981,5Co3nToduGTXXF1ra9gXB3,spotify:playlist:5Co3nToduGTXXF1ra9gXB3,Spotify,50
1982,722UH6DU3oigTYKBnfBZSy,spotify:playlist:722UH6DU3oigTYKBnfBZSy,Spotify,50
1983,2wHQqJDXcWgQ4GLdVCfb8G,spotify:playlist:2wHQqJDXcWgQ4GLdVCfb8G,Spotify,50
1984,0FXAO6yBxrfz5PTOEuvq67,spotify:playlist:0FXAO6yBxrfz5PTOEuvq67,Spotify,50
1985,5p5jgESe4r75R70Rzvqpcy,spotify:playlist:5p5jgESe4r75R70Rzvqpcy,Spotify,50
1986,3GM3OMvut5VuRht0dr8GJX,spotify:playlist:3GM3OMvut5VuRht0dr8GJX,Spotify,50
1987,6sKz6mI28U6Dcj7a8WpRnQ,spotify:playlist:6sKz6mI28U6Dcj7a8WpRnQ,Spotify,50
1989,1ASJaLRG6NhOpwc8vGYceZ,spotify:playlist:1ASJaLRG6NhOpwc8vGYceZ,Spotify,50
1990,0COE1X7FirWRdfOgls1JJV,spotify:playlist:0COE1X7FirWRdfOgls1JJV,Spotify,50
1991,6ATJMRUakF2bhZcPBYjnD5,spotify:playlist:6ATJMRUakF2bhZcPBYjnD5,Spotify,50
1992,62NfPhRvacdmSAsNghaRs5,spotify:playlist:62NfPhRvacdmSAsNghaRs5,Spotify,50
1993,33sPgLhtkMgQLWMgdHRQma,spotify:playlist:33sPgLhtkMgQLWMgdHRQma,Spotify,50
1994,27hnSuEcFg6wr5C5t3J5eL,spotify:playlist:27hnSuEcFg6wr5C5t3J5eL,Spotify,50
1996,1FDK3hDHMSyzjC1IpdIOU3,spotify:playlist:1FDK3hDHMSyzjC1IpdIOU3,Spotify,50
1997,4nftZhTZDARHbC2oX5l2Vw,spotify:playlist:4nftZhTZDARHbC2oX5l2Vw,Spotify,50
1999,1WkrD0MvdN3BcLa4DXBRCQ,spotify:playlist:1WkrD0MvdN3BcLa4DXBRCQ,Spotify,50
2000,0JvFNpF6sn3LeV5LXbbSxv,spotify:playlist:0JvFNpF6sn3LeV5LXbbSxv,Spotify,50
2001,5TUU1rXz87AipJYg92AXFg,spotify:playlist:5TUU1rXz87AipJYg92AXFg,Spotify,50
2002,665gwFk3RaSHbgiimtgok0,spotify:playlist:665gwFk3RaSHbgiimtgok0,Spotify,50
2003,2I7h7Mj5bGlqhI4PyupTPF,spotify:playlist:2I7h7Mj5bGlqhI4PyupTPF,Spotify,50
2004,1XbPuTCA2KsqAOn9PJploZ,spotify:playlist:1XbPuTCA2KsqAOn9PJploZ,Spotify,50
2006,1Gn0PYtF7VmfuZD0Gb91fN,spotify:playlist:1Gn0PYtF7VmfuZD0Gb91fN,Spotify,50
2007,0KIKHBXChX4m2MVm8qQk6N,spotify:playlist:0KIKHBXChX4m2MVm8qQk6N,Spotify,50
2008,3jibtPWLDXBK0OCJN6Ztsf,spotify:playlist:3jibtPWLDXBK0OCJN6Ztsf,Spotify,50
2009,1fLy5EE5473UueC82LvQub,spotify:playlist:1fLy5EE5473UueC82LvQub,Spotify,50
2010,2eCpwX876ZuWtIsZweYMnr,spotify:playlist:2eCpwX876ZuWtIsZweYMnr,Spotify,50
2011,0BXZJ6BiA151CzaMcTKPMN,spotify:playlist:0BXZJ6BiA151CzaMcTKPMN,Spotify,50
2012,7z2Wo5a21ENb24YGcEdoTE,spotify:playlist:7z2Wo5a21ENb24YGcEdoTE,Spotify,50
Dear Mama,3D8eZBmcXjAjFzUjYtrl6f,spotify:playlist:3D8eZBmcXjAjFzUjYtrl6f,Spotify,29
