artist_name,artist_id,artist_uri,followers,genres,popularity,image_url
Thaman S,2FgHPfRprDaylrSRVf1UlN,spotify:artist:2FgHPfRprDaylrSRVf1UlN,9697619,"tollywood, telugu pop, tamil dance, tamil pop, kollywood, kannada pop",76,https://i.scdn.co/image/ab6761610000e5eb1edc6d40afbea5426d0cfe0f
S. Thaman,24YbYIa6wcYPLomzRKBSnj,spotify:artist:24YbYIa6wcYPLomzRKBSnj,359,,28,https://i.scdn.co/image/ab67616d0000b27341e30ca39965eac9f40cadaa
"Thaman.S, M.M.Manasi",02XErcXtW63W0vjHNKndat,spotify:artist:02XErcXtW63W0vjHNKndat,363,,13,
Varun Thaman,64Z3GbN2WQnPVXoDqyxpMk,spotify:artist:64Z3GbN2WQnPVXoDqyxpMk,20,punjabi pop,8,https://i.scdn.co/image/ab67616d0000b27337973b1a75cf0a458c9ba948
Thaman,0WAKyHsdTZzrxchOcVdjH0,spotify:artist:0WAKyHsdTZzrxchOcVdjH0,5,,0,
"Benny Dayal, Thaman.s",5GGONlSMs0x1bXSBQlPX53,spotify:artist:5GGONlSMs0x1bXSBQlPX53,6,,0,
Thamani,7ERMq9FG5Kx46wQHXsHfq6,spotify:artist:7ERMq9FG5Kx46wQHXsHfq6,2,,0,https://i.scdn.co/image/ab67616d0000b2734255fccea0451afe239d2266
Trillion Thamani,649DFVcn8WtX00IqrnZxt4,spotify:artist:649DFVcn8WtX00IqrnZxt4,5,,0,https://i.scdn.co/image/ab67616d0000b2736974aa7a56cbd66482f2a1e0
Thamanna Iqbal,08xhoaFAVN6pqK4krnCoK7,spotify:artist:08xhoaFAVN6pqK4krnCoK7,0,,0,
thamancub,0UJMXzhQgQzSu6vLw49tWj,spotify:artist:0UJMXzhQgQzSu6vLw49tWj,228,,3,https://i.scdn.co/image/ab6761610000e5eb30f4558450d9f67e6abc4fa4
