artist,track_name,popularity,preview_url,cover_art,album_name,release_date
Thaman,"Firestorm (From ""They Call Him OG"")",72,,https://i.scdn.co/image/ab67616d0000b2739ea4975d7d6af51e6605b31f,"Firestorm (From ""They Call Him OG"")",2025-08-02
Thaman,"Dabidi Dibidi (From ""Daaku Maharaaj"")",68,,https://i.scdn.co/image/ab67616d0000b27350497bd42da519b556ec1895,"Dabidi Dibidi (From ""Daaku Maharaaj"")",2025-01-02
Thaman,Kurchi Madathapetti,59,,https://i.scdn.co/image/ab67616d0000b273e828d0a7cbecd7ac239c066b,Guntur Kaaram,2024-01-26
Thaman,Malaayooru,67,,https://i.scdn.co/image/ab67616d0000b27330c197ba707cd4606406e0c0,Mambattiyan,2010-09-01
Thaman,Kalasala Kalasala,66,,https://i.scdn.co/image/ab67616d0000b2738a24475f112713e524d9a070,Osthe (Original Motion Picture Soundtrack),2011-10-19
Thaman,NaaNaa Hyraanaa,57,,https://i.scdn.co/image/ab67616d0000b2738b395cc60acd21733fb64cf1,Game Changer (Telugu),2025-01-04
Thaman,Oh My Baby,57,,https://i.scdn.co/image/ab67616d0000b273e828d0a7cbecd7ac239c066b,Guntur Kaaram,2024-01-26
Thaman,"Hungry Cheetah (From ""They Call Him OG"")",64,,https://i.scdn.co/image/ab67616d0000b27395040e1dbd96cccd5e15ba97,"Hungry Cheetah (From ""They Call Him OG"")",2023-09-03
Thaman,Sarkaru Raa,60,,https://i.scdn.co/image/ab67616d0000b27305766ac580e787ef7653eb5a,Daaku Maharaaj,2024-12-14
Thaman,Samajavaragamana,54,,https://i.scdn.co/image/ab67616d0000b2736d8b9f085e1178348a12685d,Ala Vaikunthapurramuloo,2020-01-17
